A310LAA,Lybian Arab Airlines (LAA),16.56,-0.6,0
A310MPD,Air Comet (MPD),16.56,-0.6,2
A310PAA,Pan American Airways (PAA),16.56,-0.6,2
A310PIA,Pakistan Int. Airlines (PIA),16.56,-0.6,0
A310PIC,Pacific Airlines (PIC),16.56,-0.6,0
A310QSC,African Safari (QSC),16.56,-0.6,0
A310RJA,Royal Jordanian Airlines (RJA),16.56,-0.6,0
A310RKA,Air Afrique (RKA),16.56,-0.6,0
A310ROT,Tarom (ROT),16.56,-0.6,0
A310SAT,SATA Air Acores (SAT),16.56,-0.6,0
A310SBI,Siberia Airlines (SBI),16.56,-0.6,0
A310SBI2,S7 Airlines (SBI),16.56,-0.6,0
A310SGX,Saga Airlines (SGX),16.56,-0.6,0
A310SUD,Sudan Airways (SUD),16.56,-0.6,0
A310TAP,Air Portugal (TAP),16.56,-0.6,0
A310TAPOLD,Transportes Aereos Portugueses (old colors) (TAP),16.56,-0.6,0
A310THY,Turkish Airlines (THY),16.56,-0.6,1
A310TSC,Air Transat (TSC),16.56,-0.6,0
A310TSC2,Air Transat (TSC),16.56,-0.6,0
A310UAE,Emirates (UAE),16.56,-0.6,0
A310UNO,United Nations Organization (UNO),16.56,-0.6,0
A310UZB,Uzbekistan Airways (UZB),16.56,-0.6,0
A310WHT,White (WHT),16.56,-0.6,0
A318AFR,Air France (AFR),7.95,-0.4,1
A318AIB,Airbus Industrie (AIB),7.95,-0.4,4
A318AVA,Avianca (AVA),7.95,-0.4,1
A318BAW,British Airways (BAW),7.95,-0.4,1
A318CKY,Cloudsky Airways VA (CKY),7.95,-0.4,0
A318FFT,Frontier Airlines (FFT),7.95,-0.4,3
A318LAN,LAN Airlines (LAN),7.95,-0.4,0
A318LNE,LAN Ecuador (LNE),7.95,-0.4,0
A318MXA,Mexicana (MXA),7.95,-0.4,3
A318ONE,Avianca Brasil (ONE),7.95,-0.4,0
A318RJA,Jordanian Government (RJA),7.95,-0.4,0
A318ROT,Tarom Romanian Air Transport (ROT),7.95,-0.4,1
A318SVW,Global Jet Luxembourg (SVW),7.95,-0.4,0
A318UNA,Asia United Business Aviation (UNA),7.95,-0.4,0
A319@RT,Royal Thai Air Force,7.95,-0.4,0
A319@SG,Republique du Senegal (Pointe Sarène),7.95,-0.4,1
A319@TU,Turkish Government (TC-ANA),7.95,-0.4,0
A319@VG,Venezuelan Government,7.95,-0.4,0
A319AAF,Aigle Azur (AAF),7.95,-0.4,0
A319AAW,Afriqiyah Airways (AAW),7.95,-0.4,1
A319AAY,Allegiant Air (AAY),7.95,-0.4,0
A319ABQ,AirBlue (ABQ),7.95,-0.4,0
A319ACA,Air Canada (ACA),7.95,-0.4,1
A319ADR,Adria Airways (ADR),7.95,-0.4,0
A319AEE,Aegean Airlines (AEE),7.95,-0.4,1
A319AEE2,Aegean Airlines (Visit Greece) (AEE),7.95,-0.4,2
A319AFL,Aeroflot (AFL),7.95,-0.4,1
A319AFR,Air France (AFR),7.95,-0.4,1
A319AHY,Azerbaijan Airlines (Government) (AHY),7.95,-0.4,1
A319AIB,Airbus Industrie (AIB),7.95,-0.4,3
A319AIC,Air India (AIC),7.95,-0.4,0
A319AMC,Air Malta (AMC),7.95,-0.4,2
A319AMC2,Air Malta (old colours) (AMC),7.95,-0.4,1
A319ASL,Air Serbia (ASL),7.95,-0.4,0
A319AUA,Austrian Airlines (AUA),7.95,-0.4,4
A319AVA,Avianca (AVA),7.95,-0.4,4
A319AVA2,Avianca (Star Alliance) (AVA),7.95,-0.4,3
A319AWE,US Airways (AWE),7.95,-0.4,1
A319AZA,Alitalia (AZA),7.95,-0.4,1
A319BAW,British Airways (BAW),7.95,-0.4,2
A319BAW2,British Airways (Dove) (BAW),7.95,-0.4,1
A319BEL,Brussels Airlines (BEL),7.95,-0.4,2
A319BEL2,Brussels Airlines (Star Alliance) (BEL),7.95,-0.4,1
A319BER,Air Berlin (BER),7.95,-0.4,1
A319BER2,Air Berlin (OLT Express) (BER),7.95,-0.4,2
A319BHA,Bohemia Airlines VA (BHA),7.95,-0.4,1
A319BHP,Belair (Air Berlin) (BHP),7.95,-0.4,0
A319BHP2,Belair (Air Berlin Hybrid) (BHP),7.95,-0.4,0
A319BKP,Bangkok Air (BKP),7.95,-0.4,0
A319BMA,British Midland (BMA),7.95,-0.4,1
A319BON,BH Airlines (BON),7.95,-0.4,1
A319BRS,Brazilian Air Force (Government) (BRS),7.95,-0.4,1
A319BUH,Bursa Airlines VA (BUH),7.95,-0.4,1
A319CCA,Air China (CCA),7.95,-0.4,1
A319CCM,CCM Airlines (CCM),7.95,-0.4,1
A319CEF,Czech Air Force (CEF),7.95,-0.4,1
A319CEL,Caeli VA (CEL),7.95,-0.4,0
A319CES,China Eastern (CES),7.95,-0.4,1
A319CSA,Czech Airlines (CSA),7.95,-0.4,2
A319CSC,Sichuan Airliners (CSC),7.95,-0.4,1
A319CSN,China Southern Airliners (CSN),7.95,-0.4,1
A319CTM,Armee de l'Air Francaise (CTM),7.95,-0.4,0
A319CTN,Croatia Airlines (CTN),7.95,-0.4,3
A319CTN2,Croatia Airlines (Star Alliance) (CTN),7.95,-0.4,1
A319CYJ,CanaryJet.com (CYJ),7.95,-0.4,1
A319CYP,Cyprus Airways (CYP),7.95,-0.4,1
A319DAL,Delta Airlines (DAL),7.95,-0.4,2
A319DCS,DC Aviation (D-ADNA)(DCS),7.95,-0.4,1
A319DCS2,DC Aviation (D-ACBN) (DCS),7.95,-0.4,0
A319DLH,Lufthansa (DLH),7.95,-0.4,2
A319DLH2,Lufthansa (Star Alliance) (DLH),7.95,-0.4,1
A319DNV,Donavia (DNV),7.95,-0.4,0
A319DRD,Air Madrid (DRD),7.95,-0.4,1
A319DRK,Druk AIR (DRK),7.95,-0.4,0
A319EBA,EuroBerlin VA (EBA),7.95,-0.4,1
A319EIN,Aer Lingus (EIN),7.95,-0.4,0
A319ETD,Etihad Airways (ETD),7.95,-0.4,1
A319EWG,Eurowings (EWG),7.95,-0.4,1
A319EZS,easyJet Switzerland (EZS),7.95,-0.4,0
A319EZY,easyJet (EZY),7.95,-0.4,2
A319EZY2,easyJet (Unicef) (EZY),7.95,-0.4,0
A319FFT,Frontier Airlines (FFT),7.95,-0.4,1
A319FIN,Finnair (FIN),7.95,-0.4,1
A319FIN2,Finnair (Oneworld) ((FIN),7.95,-0.4,1
A319FIN3,Finnair (silver bird) (FIN),7.95,-0.4,0
A319FLO,Flyone VA (FLO),7.95,-0.4,0
A319FMT,Meteor Airlines VA (FMT),7.95,-0.4,1
A319GAF,German Air Force (GAF),7.95,-0.4,1
A319GFA,Gulf Air (GFA),7.95,-0.4,0
A319GLG,Aerogal (GLG),7.95,-0.4,0
A319GLL,German-Lloyd VA (GLL),7.95,-0.4,0
A319GMI,Germania (GMI),7.95,-0.4,2
A319GWG,German Airwings VA (GWG),7.95,-0.4,1
A319GWI,Germanwings (GWI),7.95,-0.4,2
A319GWI2,Germanwings (park inn) (GWI),7.95,-0.4,1
A319GWI3,Germanwings (T-Mobile) (GWI),7.95,-0.4,1
A319GWI4,Germanwings (Baden-Wurternberg) (GWI),7.95,-0.4,2
A319HAY,Hamburg Airways (HAY),7.95,-0.4,0
A319HAY2,Hamburg Airways (condor) (HAY),7.95,-0.4,0
